,answer,question_text,text_id,grade,score
217,Jack and Annie turned into pilgrims because of the magical book. There clothes changed into pilgrim clothes.,"Try to think of some ways that the main character changed during the story. For example, maybe he or she became braver, older, wiser, or made more friends.",BASERYFVwLh1HGHkdhsfRKveoA,3,9
218,When he took the teenager candy and he was so scared by lance in he is a kid.,What is your favorite part of this book? Why?,BASEd-86eMei8XWcE6037sLtpg,1,8
219,"I feel that the piece of dialog ""Life sucks.  That's the truth."" tells me that this character is angry, or not happy with the way things are.",Analyze a piece of dialogue that you found interesting. What does this dialogue tell you about the personalities of the characters or people speaking? Support your thoughts.,AUT3HE26anBbzycB--zrhY8eQ,7,7
220,the teacher came back to a nice teacher,What happened at the end of the book?,BASEPxkWRCxDXflYuUXDYGmaxA,1,8
221,I don't know much about my family. But i do think they would probably like it.,Do you think your family would like this book? Why or why not?,BASEUftj-SriSIR0BelFniTOgQ,0,7
222,Whenever Colin could walk made me the most happy because he would not walk but he tride and he did it.,What part of the text made you the happiest? Why do you think you were so happy at this moment?,AUTnWHd9PEMnpBmt3IVkX1SRA,4,8
223,I don't like the coloring because it is mostly brown. I don't like how it is night time. I don't like the ugly scarecrow because of its coloring.,What do you not like about this book?,BASERpo7IUMvpHJ8ZH7xGWS6PQ,1,10
224,My favorite picture in the book is the one in the box.  I like it because it is funny with the box hanging from a tree and there is a fox in the box with him.,What is your favorite picture in the book and what does it look like?,BASEVRC8J4bm-WChS_qczxKQMQ,1,10
225,The fact is the character llkkkkkkkkkkkkkKkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,Find one fact or idea in the text that you know is true. What did the author do to convince you?,AUTUyVQ4jXmlM2NX_iSk43Sjg,2,0
226,Dad is home today i will help my dad do things wake up dad i say we have work to do.,Describe a picture you could draw to show what happened at the beginning of the text. Why would you draw that picture?,BASEmMxLI6O1SAcuzmOZNCx3qg,1,3
227,My happiest picture was the one that Arrow hawk had the arrow taken out of him.,What picture made you the happiest in this text? Why?,BASELpd-ZG26DAQeMPCr7oCwhQ,0,7
228,"Leo was happy when he was thinking of his dad ang his Grandpa. He was happy thinking of his dad and Grandpa because they where fearless, intelligent ,and he loves them.",When was the main character or person happy?,BASEcvVcslt3awJBEvw9UQiQ4g,-1,10
229,combat lessons for minecraft,Find a line from the text that would make a good title. Why would this line be a good new title for the text?,BASEg1-DrRx66H6jQI4fI0xT2g,5,7
230,iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,"If you could make everyone in the world read one part of this text, which part would you ask them to read? Why?",BASEmU104uSbQuRjOu8WNHyBKA,1,0
231,"The narrator in this text Mira, the main character. If I had to choose a new narrator, I would choose someone close who is a with Mira a lot, so that nothing is missed out and the story is in someone else's perspective.","Who is the narrator in this text? If you had to choose a new narrator, who would you choose and why?",AUTYQTj33tE2UAxFrWMeMqGXQ,5,8
232,"He was an inventor and his robot exploded and so he got mad. So he didn't want to make anything again, I'm assuming!?",What was the main character or person like at the beginning of the book and at the end of the book? What caused this person to change between the beginning and the end of the book?,BASEipftERFA2hbOQOVSbeDGWQ,5,6
233,I think it was the children because they were all giggling and having fun,"What do you think made the main character or person the happiest in this text? Use a quote from the text to show how happy they were, and then explain why you think that was their happiest moment.",BASE1sursGwC9Gcmr64d_7Z77A,4,7
234,HE will try to make squiggly lines like she made her dots.,What do you think the boy at the end of the story will do now?,BASE4-aooeamQL3WgDWHXCDEOw,-1,9
235,In my real life  I have a best friend named Addison sometimes where  not friend no more.we both have a cat but her is gray and mine is white.,What did you learn from this chapter that you can apply to your life?,MANUUhwMXeaev18xvtjoG0kAtA,3,2
236,"It tells me that Bear gives up and cry's because,Mouse keeps coming back.Bear finally lets him have a nice fire and cheese with Bear.",Pick any picture in this book. What does this picture tell you?,BASE1DgC9AJQDckNNg-UAujv_Q,2,9
237,When it has the group holding hands to catch someone from the trust fall to show how there plan looked,"Look at the pictures throughout your text. What do you think the illustrator is trying to get you to feel? Describe one picture that makes you feel that way, and then explain why.",AUTLJmysL0LqjpFZaCJltyfvQ,5,7
238,In this mine craft handbook there is no word or phrase that is repeated but one that should of been is do not mine strait down. I believe this word should of been repeated because it is so vital to the just starting out .  Plus doing this could kill you then you are dead for go so they need to stay clear of doing this terrible action.this is the word/phrase that i believe should or could of been repeated in the text.,"When was a word or phrase repeated for emphasis? What was so special about the word or phrase that called for it to be repeated? If there is no repeated word or phrase, find one that you think should have been repeated and explain your reasoning.",BASEvo-Y6oP4mlZ-d6ID-xbecg,6,10
239,I would be Annie's friend because she is her inside and not what people make she to like.Also she gives what she got. Annie dose not let people in her way. She try's her best.,"Would you rather be friends with the main character or person in the text you are reading now, or with the main character or person from the last text you read? Why?",MANUb-B4Q_VDIyPG-N2FJFyHZw,6,8
240,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,What part of this book made you laugh? Why was it funny?,AUTT5rS35RX5-5ZB8kyRuxZmw,0,0
241,That book because they are nice and its good to be different.  Its okay to be different.,Would you rather be friends with someone in this book or in another book you have read? Why?,BASEdSGtXL1MXcjyBXgonsMHRA,1,7
242,"The story would change dramatically if the Eights biggest rival in this book told the story. Their biggest rival is Crazy Serena in this book. If she told the story she would talk about every single bit about her evil plans because she's a ""teacher."" And she'd be so full of herself about it. Serena would also be quite dramatic with her words. I know this because on page 86, chapter 8 Serena says, "" Fine, I know all about your mother being a scientist. Believe me, I know a lot about your dear mother."" In this sentence it shows Serena is very dramatic with her words. This is what I believe would change if the Eights biggest rival from this book told the story.",How would the story change if it were told by the main character's biggest enemy or rival?,AUTrx7HZK4emksNGx8GOOFhtg,5,10
243,I probably live in the world in this book because in the last book I read I did not like the setting.But I like the setting in this book because I like New York City,"Would you rather live in the world described in the text you are reading now, or in the world described in the last text you read? Why?",BASEtbwC5qc9Y25px5b1cQKuDw,4,9
244,When Jack betrayed Auggie and says Auggie is a freak.  What happened was that Auggie didn't want to go to school anymore and he felt so betrayed because he thought Jack was his friend and didn't believe that he was like everyone else. It affected the main character because Auggie is the main character.,Every action or event in a story affects what happens next. Describe one key event that had a large impact on the plot. What happened because of this event? How did this event affect the main characters?,AUT25Jwl5E9znJET2xqJDhVvQ,6,9
245,i would say that they would join the  superhero team because the humans and the dogs could be the sidekicks and the dogs can bite them to the grown up dogs  have sharp teeth it will hurt to you will have a big bleeding mark on your arm or the souls of your feet,Do you think the main character in this book would be more likely to join a crew of pirates or become a superhero? Why?,BASEeLW_IFlL3MyD96_O304hhg,3,7
246,I would rather be friends with the person in the text now than in the last text. I would prefer this because this book has people my age and it is much more exiting than the last one. I just love their attitude. Also I love how their in the same grade as me. Also I would get along with their family great.If I had a little brother like fudge I would be lucky. Also I am the young sister.,"Would you rather be friends with the main character or person in the text you are reading now, or with the main character or person from the last text you read? Why?",BASEzFrWlHbwAwqpSX9nXM-QMg,5,9
247,"god is the main character  and the geese 
 honk the dogs start to bark an god smiles and the dogs run to the warter",What drives or motivates the main character or person to do what they do? How do you know?,BASEeLW_IFlL3MyD96_O304hhg,3,4
248,ggggggggggggggfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,What is your favorite picture in the book and what does it look like? Did you learn something from this picture?,AUTbutB8WhRvA9oer8ScIGYWg,1,0
249,Tigerclaw's goal was to become clan leader.He hated every thing his leader told him and did. Then he decided to lead a pack of rouges to attack the Thunder Clan camp. Tigerclaw sprinted to kill his leader Bluestar first. While all the other cats tried to kill Thunder Clan.,Choose a character or person in the text and explain their goals. What drives them to do the things they do?,AUTy6zC80j9VWcAmZmJJ7G7Wg,5,6
250,I think my friends should read this book because it is really spooky and at the end all the kids get to go to a Halloween party and they get to eat this treat that are cupcakes with yummy orange frosting that look like small pumpkins but they are really just yummy cupcakes and they are delicious,Do you think your friends should also read this book? Tell them why you think they should or should not.,BASEZv-Jgt1uIDmYfWlk2D-SRA,1,6
251,"No, because the main character is trying to be a part of the bad lawn gnomes in planet of the lawn gnomes.",What do you like about the main character or person in this book?,AUTLP--_BP35zNFemhLoYkN5w,0,5
252,"Yes, because George and Harold make hilarious pranks and are pranksters and daredevils. Also, they are dramatic in the story and I would say that drama is in my personality too. Another reason, is that they are awesome and have a tree house to make comics for their schoolmates to read at school. The last reason, is because they are creative.",Would you enjoy being friends with the main character or person in this text? Explain why or why not.,BASEjp0gPFMd9EXLTm1PxwixCQ,5,8
253,I think that it was more important to Roberto then earning lots of money because Roberto loves baseball and he even made his own tools out of it that is how i know that Roberto wants baseball more then money.,Which do you think was more important to Roberto- being a great baseball player or earning a lot of money?   Explain your answer.,BASEfxKUHBcTlHU-sfTzes4Xyg,3,9
254,The narrator of this book is a dragon named Moon who is a Nightwing with all the old Nightwing powers. If I had to change the narrator of the text which I wouldent but if i had to I would change to Turtle because he always seems that if no one was around he would try to be Moon at all times and I would like to know what he was thinking all the time.,"Who is the narrator in this text? If you had to choose a new narrator, who would you choose and why?",BASEPfJ4hpKIZapWJfwV3_OZAA,6,9
255,you can be anything you want to be.,"Describe something you learned by looking at a table, graph, or picture in this text.",AUTlwFOWm7kszpN_EfNyEUBLw,4,4
256,She uses foreshadowing when Alice uses the extra ability that she has which is see the future as long as the persons path does not change.,"What examples of literary devices does Stephenie Meyer use (examples: dialogue, conflict, relationships between characters, flashbacks, foreshadowing, imagery, figurative language, etc.)?",BASEikKVl_icgJxHMX15dlddyQ,0,10
257,"Well Annie, Matt and Reese were disagreed to make  Austin feel like he not a awesome rider  again or not. But Annie dose not stay out of his problem   austin anyway.Matt and reese told her to stay out of he problem","Think about a disagreement that occurred between two of the characters or people. Explain the situation that got them to this disagreement. Then think about how you would feel if this situation happened to you, and explain why you think they disagreed.",MANUb-B4Q_VDIyPG-N2FJFyHZw,6,6
258,When  Lupin was hiding in the bushes. Pycraft had a gun and Redburn found a wolf and Lupin jumped on Pycraft and he shot Lupin and then Mckinley jumped on him to so that Saved Lupin. she  jumped away and Mckinley ran after Lupin after they found her they helped her recover,Every action or event in a story affects what happens next. Describe one key event that had a large impact on the plot. What happened because of this event? How did this event affect the main characters?,BASENqbl23iYsOZIZ1VdKSfaIg,4,8
259,I know Im not an ordinary ten year old kid. This sentence goes with the text as a whole;Auggie knows hes different but he wants to be treated like a normal kid. He doesnt want the people at his school calling him names just because Auggie  doesnt look like them.,"Flip through the part of the text you have read and drop your finger on a random sentence. Copy down the sentence, and then explain how it contributes to the text as a whole. (If there's no way you can connect this sentence to the rest of the text, randomly find a new sentence).",AUT25Jwl5E9znJET2xqJDhVvQ,7,9
260,yes I like Freddy because hes really smart and not scared of any thing,Do you think you are like the main character or person? Why or why not?,BASE_Ft87yQGFf4JWRPndBsNeg,4,7
261,this part of the text  made me the happiest because Brandon kissed Nikki. I Think I was so happy at this moment because Nikki was always scared to talk to Brandon (her crush) and then Brandon toughened up and kissed Nikki.,What part of the text made you the happiest? Why do you think you were so happy at this moment?,BASEh0RmRu_lBofEKWORAdakMQ,5,9
262,I think socks because he just feels left out and he just want to not feel left out because the baby took it all it which made him feel left out.,Think about a disagreement that two of the characters had. Explain why each of them believed their side. No need to decide which character is right; just step into their shoes and try to understand them.,BASEOuAns7xc31tq4anUPHiFwQ,3,6
263,The main point is of the last chapter is it talks about how elis iland close down and what happen to it,What was the main point of the last chapter or section of the text? Include one quote from the text that supports this main point.,BASEOIrponQPRV0ZVSCuvh0ckg,4,7
264,When the tree dies. The boys also you know what. that is really  make you want to cry. These are really sad points of the book. But all book should have parts that make you feel like you're going to cry.,What do you not like about this book?,BASEN7Gtw7tV57bfWBcELTcLEQ,2,9
265,What I remember the most from this story is that Callie is an excellent skater. She would practice every day. She would skate on the ice outside her house.,What do you remember best from the book?,BASEMRMPksN8FNYoLagXcQooHQ,1,10
266,"It shows how that the main character is an evil man fightning good people, but he is also battling the evil inside of him",How does this text relate to a traditional topic or theme (such as good vs. evil or a specific life moral)?,BASE2DdDezLM1mpPjKZzA9bi2w,7,7
267,I would enjoy being friends with Jack and Annie.  I think they are really awesome kids and they are so smart.  I could learn a lot from them and maybe even go on an adventure with them.,Would you rather be friends with someone in this book or in another book you have read? Why?,BASEhniulqP3tVV_Q4QLtuIJFQ,2,10
268,I think that he is interested in the barefoot running boy because he is so fast. I also think he is interested because he is not in school,Why do you think Roy is so interested in the barefoot running boy? Support your answer with text evidence.,BASE09Kgqy2UOCGRDW7xvB84NQ,7,7
269,Key person : Jones   greatest fear is being alone because he has never been alone in his in tier life been alone.  If I was Jones life coach I would teach him how to handel being alone and taking the pain and how to handel it during traning and how not to give in and give up on it because they need him to keep every thing in shape and the communits from not distroing them selfs and not try to kill them selfies because they do not know what to do in the comunity .,"Analyze one of the key people or characters in your text. What is their greatest fear? How do you know? If you were their life coach, how would you get them to confront or overcome their fears?",BASERinIBg6I05vuYjVvkTM6cg,7,7
270,By the coast of Japan at there uncoils,Where does this book take place?,BASE9ueo3KG4WswgTu3ewh5zSQ,-1,8
271,Who made animals.He was asking everyone who made the animals in the world.,Come up with a new name for this book. Why did you choose that name?,AUTyAut0tkYQaY0MZlgJ7-WIQ,0,9
272,I liked has he dral a fish panting,What was your favorite illustration? What did you learn from this illustration?,BASEvmSmELm6GPpQqmeEZd8QLg,3,5
273,The person changed by going from one place to another location.,What are some ways that the main character or person changed during the text?,AUT45M82sE-SEQkcp0Na4A0fA,0,9
274,There were no picture in this book but I would be happy to see a picture of her in Hollywood with her friend and her new friends.,What picture made you the happiest in this text? Why?,AUTrVyrM5FYDlwLbuuGvA1ArQ,2,6
275,Ashlynn Meyer and Darius Perry have a friendship that makes the problem easier because Darius and Ashlynn are the only ones who can see the elves and ghouls makes them special. plus when ashlynn turns into a ghoul Darius gets captured and ashlynn has to save Darius.,Describe a friendship that existed between two characters or people in this text. Did these two make each other better or worse? Support your answer.,BASEJahLcduZ3xkGZp4KcYRWKA,6,6
276,Frizzled like a Fritter because the witches like to turn children into mice so I think that frizzled.Then fritter could be the children.,Find a line from the text that would make a good title. Why would this line be a good new title for the text?,BASEkAITp4dIe3STuqsJ7CGKUw,5,8
277,A girl give her a doll and it was funny.I love wen she gave her a doll now that was funny.,What part of this book made you laugh? Why was it funny?,AUT0zDMGhj01JgA7nx6lhzcQg,1,8
278,I  want to  tell  them  that  this  book   is  a  ok  book.,What do you want to tell your parents about this book?,BASEODdLbIGhhafinfyNG10erQ,0,8
279,The person who I would ask for help if i was in grave danger would be the Principal or the teacher.,"If you were in grave danger and had to turn to someone in your text for help, who would you trust to help you and why? Support your answer with examples from the text.",BASEVHft64smZ2HVwT2HfcVPkw,4,7
280,Because the are bad to Ralph thay do bad things to Ralph.thay don't take care of Ralph thay don't care for Ralph.,Does this book have 'bad guys?' How do you know if they are actually bad?,BASErrG7EqAXv_XWHpLOFacwrw,3,7
281,they battled through and they are all together celebrating.That they are the last kids on earth.,What is happening in the last picture in the book?,BASEshoJRmiwe2OdV8j3W1Mctw,0,9
282,fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,"Certain words like love, sunshine, and gummy bears make people really happy. Which words did you read in this book that made you happy?",BASEmU104uSbQuRjOu8WNHyBKA,1,0
283,Looks good like real life.,Deciding on the title and cover image of a text is important. Why do you think the author chose this title and cover image? How are the cover image and title related to each other?,BASEr8RsRcGJ6Cxp6TcDFqVd2w,7,2
284,"Leona and Dr. Martin Luther King Jr. They both made a change/difference. Leona tries her best to make a difference in the lot, since she sees people in the lot trying to plant seeds and make a mini garden, she decides to have everyone plant in the garden, and everyone that lives near the garden is able to plant in the garden. Dr. Martin Luther King Jr. sees that the whites and  blacks has unequal rights and tries his best to make a difference in trying to have everyone have the same rights, which we are able to have the same rights.",Think about the main character or person in this text and choose a person from history to whom they are similar. Describe three ways this individual is similar to the individual from history.,BASErb6c4u21ysFiO6ZWfVDfhg,7,10
285,"In this book Brian faces many problems and dangers such as the moose attack. During this event Brian shows great bravery by defending himself. He was trying to make a kill when after the first shot the moose charged at him. He thought quickly and grabbed his lance, so at the minute she lounged at him he stabbed her right in the chest.","Share a story about something that happened to one of the characters or people in this text, or something they did. What does this story tell you about the character or person's personality?",BASEHxYfC-gQ7DClJism2xkw0Q,5,10
286,that the day after he left office he took hi s dog fore a walk fore the fisrt time in egit year he had to pick up the poop,What is an idea or fact that you learned from this text that surprised you the most? What was so surprising about it?,AUTihCziW9yzPVrrI-W--Dpkg,6,6
287,"A friendship that existed was Cass and Denny's frienship. They're brother and sisters, but they love each other so much that Denny is like Cass's right hand. They helped each other out and made them better as a person. ""Cass just come back to the car it okay if she doesn't come we'll fine the hospital somehow."" (Una LaMarche 58). Denny stopped Cass from whatever she was going to do to Leah.",Describe a friendship that existed between two characters or people in this text. Did these two make each other better or worse? Support your answer.,AUTh0mk93u5ja-uDoc4Gceg2Q,6,10
288,One of the texts states the problem a different type of way and the other text states the text in another different type of way for example in getaway the problem is to be happy when you are missing out all the fun and in the first book the problem is that rowley needs to learn how to talk in a grown up way.,What text in the same genre reminds you of this text? How are the two texts different?,BASEhvhkzqOKhb9MqS4lkWMzvQ,7,7
289,I thought it was funny when they introduce the baby to their friends. I like the way there were excited for the new baby too.,What part of this book made you laugh? Why was it funny?,AUTILw-d0dYJFrIyzm52VGGpA,1,9
290,"Neither because the life as the main character is always very bad.
When he's having a really awesome time it just gets ruined every single time.","Would you rather live in the world described in the text you are reading now, or in the world described in the last text you read? Why?",AUT_fP4Y1A9mDvksT5I5Phl1w,4,7
291,I liked the part when they were decorating the witch house,Describe your favorite part of this book.,BASE-UkArY8NwJemwxHD5-QAHw,1,8
292,I would watch Cinderella because the mice talk and the owls talk in the book.  The plants change into people and the girl marries the prince and they live happily ever after.,What movie do you think would be good to watch before or after reading this text? Explain how the movie you chose relates to the text.,BASEFwCvHcGkwDdOpC522zpcnw,3,9
293,"In the book a boy named Manny heffley which is the main characters younger brother, during a snowstorm which left the family powerless, he goes to the furnace room and shuts down the power to all the rooms in the house except his room, which he directed all the heat to and took all the families food that they had to spare. I believe this says about his character that he only cares about himself in time of desperate needs.","Share a story about something that happened to one of the characters or people in this text, or something they did. What does this story tell you about the character or person's personality?",AUTM0ND8Q7dWEUHqX_Ndppz0w,7,9
294,that u should always be there for your friends no matter what,"Looking back on what you have read, what clues did the author give that could have helped you guess what you learned later?",BASEhnh0Qg-w4IXSzgQXyYq6IQ,6,3
295,The Venus fly trap is my favorite because in the book the Venus flytrap can close in half a second.,Choose your favorite character or person from the text and list three reasons why he or she is your favorite.,AUThMjkU1CxC9Pe8F8CicO1Yw,0,7
296,It says he died. It could have stated he slowly fell to the ground and slowly closed his eyes and never opened them again. It also stated that the fire burned. It could have stated that it burned more that that time I got stung by 20 wasps.,"Find a line in this text that could be rewritten as a metaphor or an expression. First quote the phrase, then write the expression or metaphor that could be used instead.",MANUZjxWmdqV-0g5N9jut_D41g,5,10
297,it would change the story because he would be AWFUL at it and not be a NICE neighbor to Mrs tea berry and Zeke,How would the story to change if it were told through the main character's biggest enemy or rival?,BASE5bykGYYn-A-l8Q0qJiNjzg,3,8
298,"when he said, dont kick a ghost, it made me laugh. It made me laugh so hard.",Which words or phrases in this book made you feel happy or sad?,BASEAoxKYOu6-LnBrgce-LhTFA,0,9
299,"""Molly's already tried to kill  me. Because Molly  hasn't actually tried  to kill Lorelei","What is one word or phrase from the text that is not to be understood literally, but figuratively intead? How do you know?",AUTw_XbBqxJR9PYRJyd-ZYqMA,6,7
300,I would interview Rodrick and Greg and I could help them solve their problems that they are mad at eachother for and tell them that they needed to stop fighting and have a close realastionship.,"If you could intervene to help one character or person at one moment in the text, who would you help, when would you help them, and what would you do to help?",BASEkKaYHcdo_NwOgZXg2Yj2Aw,6,7
301,Sydney and Callie.Callie was one of katies best friends once. Sydney has made her bossy and mean. Sydney is a girl that is enemies with Katie.,Describe a friendship that existed between two characters or people in this text. Did these two make each other better or worse? Support your answer.,BASEg5gS1h9muP0l0GLxHOsHDQ,3,8
302,my favorite character is  Pippy because she is strong and brave and does the right action,Pick your favorite character from the book and list three reasons why he or she is your favorite.,BASE4tS_96Tqvi1LOPte8F1zqg,-1,10
303,"I would be friends with the main character from the text i'm reading now because she is really strong, really pretty, and responsible. Sierra is really strong because she can carry a tree. She is really pretty because she probably wears makeup.And she is responsible because her parents let her have a job on the tree farm in California. And i'd like to be friends with mostly because she is strong rather than the girl in the last story i read that could not go outside.","Would you rather be friends with the main character or person in the text you are reading now, or with the main character or person from the last text you read? Why?",BASEVmHpB3UhfHJmGB6jW5k8wg,6,10
304,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,Do you look up to the main character or person in this text? Why or why not?,AUTF0Bm-HQTCeSj3vR9otphMQ,1,0
305,keep on trying anything can work anytime anywhere and make friends and stuff like that,"Look at the pictures throughout your text. What do you think the illustrator is trying to get you to feel? Describe one picture that makes you feel that way, and then explain why.",BASEYvaLidgZQ-CH4XC13C_YXQ,4,2
306,Sumting  intersting I leaned was that the author struggled with dyslexia.,What is something interesting that you learned in this text? What do you want to learn about this topic next?,BASEgSWxZ6XTSqX2S5otvHBlwQ,1,7
307,i didn't really have time to be said about it,"Flip through the part of the text you have read and drop your finger on a random sentence. Copy down the sentence, and then explain how it contributes to the text as a whole. (If there's no way you can connect this sentence to the rest of the text, randomly find a new sentence).",BASET7X2fYnKh9JKU3m2auSayA,6,2
308,"No,there is no chapter's.But I like the way they spelled the words and the pictures.",Does the author do a good job of ending chapters? Explain.,BASE1DgC9AJQDckNNg-UAujv_Q,2,7
309,They fun,Does this book remind you of the last book you read? Why or why not?,BASE2wGhrsiMZ3ILyACMRceUSg,1,0
310,The relationship between Alex and Lani makes everything better because I feel they make each other calm and they can make everyone else feel safe.,Describe a friendship that existed between two characters or people in this text. Did these two make each other better or worse? Support your answer.,BASEvqxn7ju8W6DeD_Tr_M1Eng,4,8
311,well in the story Fred started to work slower and one morning he could not get out of bed and it turned out he was sick.,Describe an example of a major event or idea in the text that directly caused or led to another important event?,MANUBZIvaOR95l-Iixlq37TfWw,4,8
312,the second main character is important because the title of the book is named after him and that makes him important/famos to  the book and the movie.,"Besides the main character, which other characters were important in the story, and what did they do?",BASEgR3MO8MOTwpSvQEu2bos_g,3,7
313,One detail  I remember from the text is when Greg was on the playground and there was no swings or monkey bars on the  playground  and    Rowley started skipping around the playground and Greg was in barest because Greg never learned how skip and Rowley was in barest  when Rowley was skipping around the playground,What is one detail you remember from this text? How did that detail connect to the theme of this book?,BASEtXQTnWYwIMM2bD_rvnJuTg,4,7
314,A story book because I know because  how would a principle turn into a man that wears underwear and has super powers and fly's?,"Is this a story book, a poem, or a true story?",BASEvzEVqa2oxnVoSZwrZSG9Xw,0,9
315,Ranofer repeated tomb about three times in a sentence.  Ranofer did this because that is when he found out Gebu had stolen a valuable item from a tomb. This shocked Ranofer and he was trying to process the information he had just been given. So he mentioned  the word multiple times to make sure he understood what he had just found out and he wanted to make sure he wasn't mistaken.,"When was a word or phrase repeated for emphasis? What was so special about the word or phrase that called for it to be repeated? If there is no repeated word or phrase, find one that you think should have been repeated and explain your reasoning.",AUTO5ffQC7ixb8oaU0jNxEzQA,6,9
316,What the farmers wife has learned is that squash pie is not that bad. Because she was the person that was stealing the squash. The good thing was that she told him that she was the one who was stealing the squash from the farm or garden which ever why you want to put it. I don't remember what they call it in the book.,Describe a relationship in this text where one character or person was learning from another.,AUTz_SahO3EGlynfncQje4G6Q,5,6
317,Her new neighbor is a flag twirler and sunny tries and keeps getting taught more and more and she got really good at it and she loves to do it.,Every action or event in a story affects what happens next. Describe one key event that had a large impact on the plot. What happened because of this event? How did this event affect the main characters?,BASEKtj0oV3J7l6xzDEw1gyGdw,7,5
318,One is that they will be scratching there head because of the wig.Second is that there feet are square so they will want to take off there shoes. Third is that they will be wereing gloves because there fingers are long.,"According to the text, how can you tell if a woman is a witch? Give at least three examples.",BASEkAITp4dIe3STuqsJ7CGKUw,5,8
319,It made me a better person because I learned it's not very respectful to be rude  to others and people,Do you think reading this text has made you a better person or a worse person? Why?,BASEhqIYFhlqPm_sYxZL-9tpeA,5,7
320,The biggest problem is that the gingerbread man was running away from everybody and made everyone to chase him.,What is the biggest problem the main character or person has in the text? How do you think they will they solve the problem?,BASEttBsw2dC6brG75yh7zw31Q,1,7
321,Then the mouse would want to see if he had a milk  moustache and then he will see his hair again,"At the end of the book, the mouse wants another cookie. Imagine what would happen next in the story and write down what would happen on the next few pages.",BASEQSVecTv-j7JSgoqk9Ij0Sg,-1,10
322,there is not another text.,"If you have read another text about a similar topic, which text did you learn more from? Why do you think you learned more from that text?",AUTMc30DFoFclTnToS_DJ1peA,7,2
323,"Usually in the beginning of a fictional book, the author introduced the characters and starts to learn about the main characters and their personalities.  It's like the same as removing ""cause"" from cause and effect. You would need to do something to have an effect. So when you loose the start of things, its causes a reader to be lost or not understand what they are reading. In ""A Dog's Purpose"" readers wouldn't understand why Bailey is doing what he is doing and what his goal is.",How does the beginning of this text prepare you for the rest? Imagine that the introduction was removed. How would the text be different?,AUT7MthUaxhcq0SuI-dbTbubw,6,10
324,itititititittititititiititiititiitiititititiiitititiitititititiititititititititiiititititiittitiititiitiitititititiitititit,Do you think everyone in your class should read this book? Why or why not?,AUTBjekVBnoVJqrdEuiSw-zWg,1,0
325,I remember when team Kyle got out the maze from the extreme chalenge I remember this part the best because it was a great  moment for team Kyle.,What part of this book do you remember best?,BASEpADbPbFuvnl93ZPPlpXEcw,0,10
326,a kid movie that is called home alone because the little boy hast to face a bunch of robbers for the night and he hast to stay safe and not get robbed.,What movie do you think would be good to watch before or after reading this text? Explain how the movie you chose relates to the text.,AUTKWlx9FsYpLNZXkHt0E9v2g,5,6
327,no because raina get back together again but raina fight with the another boy.also raina back together but they awkward.,"Would you rather live in the world described in the text you are reading now, or in the world described in the last text you read? Why? Explain why and support your answer with details or examples from both texts.",BASEd1AOyZXNco7p7V3DjsN5bw,7,4
328,Bears house because he would give me a try.he would let me live there after a little,"Would you rather live in the world in this text, or in the world in the last text you read? Why?",BASE1DgC9AJQDckNNg-UAujv_Q,2,8
329,The most interesting thing that I learned was one of the python swallows the alligator whole. Another interesting thing that I learned was when it said the pipeline could grow up to 19 feet long.,What is the most interesting thing you have learned from this book?,BASEwsT3vD6v7wNGsFUgj_FjhA,0,10
330,"In the story in tells things in a rapid pace and doesn't go through all the important subjects. For instant, it skips around days and it makes the bouts sink to quick. They make it sound like they sink right away when something happens. Like Poon Lim was sailing and got hit by torpedoes and it says he had to hurry up because he bout sunk almost has soon has the torpedoes hit the boat. It takes a while for ships to sink no matter what happens.",Choose something that you disagree with the author about and explain how the author could have convinced you to agree.,AUTWbKgyytJ4C09CAR_uStlGQ,7,9
